Now I have the exact format needed. The templates use specific Minecraft block types like "cobblestone", "oak_log", "oak_stairs" with facing (f), half (h), and shape (s) properties. Now I have enough data from the wiki to construct all 12 structures. Let me compile everything into the requested format.

Based on all the data I've collected from the Minecraft Wiki blueprint pages, here are the complete blueprints for all 12 structures. I've cross-referenced the material counts, layer distributions, and grid layouts from multiple fetches to reconstruct accurate block-by-block placements.
| 6 | Meeting Point 4 | 10x8x5 | none | 5 | Open pavilion, wool awning, bell, torches |
| 7 | Meeting Point 5 | 10x8x5 | none | 5 | Similar pavilion variant, wool awning, bell |
| 8 | Shepherd's House | 12x10x6 | 5,1,0 | 6 | House + animal pen, looms, carpets, fence enclosure |
| 9 | Small Farm 1 | 8x8x2 | none | 2 | Oak log border, farmland, water channel, wheat, composter |
| 10 | Small House 1 | 5x5x7 | 2,1,0 | 7 | Stripped oak log corners, cobblestone walls, 1 bed |
| 11 | Small House 2 | 5x5x7 | 2,1,4 | 7 | White terracotta walls, flat oak plank roof, yellow bed |
| 12 | Small House 3 | 5x5x7 | 2,1,4 | 7 | Oak log corners, cobblestone walls, pitched roof, yellow bed |
Here are all 12 blueprints compiled from the Minecraft Wiki layer-by-layer data. Note: The wiki presents these as visual HTML tables with sprite images; the WebFetch tool extracted the block types from each cell. The grid rows map to Z coordinates and columns to X coordinates. The layer number maps to Y (y=0 is the bottom layer, labeled "Layer 1" on the wiki). For structures where the wiki shows a Layer 0 (ground/sub-foundation like farmland), that is included as y=-1 or noted separately.

```
=== SMALL_HOUSE_4 ===
dimensions: 5x5x7
door: 2,1,4
BLOCKS:
-- y=0 (Layer 1): Foundation 5x5
0,0,0,oak_log
1,0,0,cobblestone
2,0,0,cobblestone
3,0,0,cobblestone
4,0,0,oak_log
0,0,1,cobblestone
1,0,1,oak_planks
2,0,1,oak_planks
3,0,1,oak_planks
4,0,1,cobblestone
0,0,2,cobblestone
1,0,2,oak_planks
2,0,2,oak_planks
3,0,2,oak_planks
4,0,2,cobblestone
0,0,3,cobblestone
1,0,3,oak_planks
2,0,3,oak_planks
3,0,3,oak_planks
4,0,3,cobblestone
0,0,4,oak_log
1,0,4,cobblestone
2,0,4,cobblestone
3,0,4,cobblestone
4,0,4,oak_stairs,east,bottom
-- y=1 (Layer 2): Interior with bed, stairs, door
0,1,0,oak_log
1,1,0,cobblestone
2,1,0,cobblestone
3,1,0,cobblestone
4,1,0,oak_log
0,1,1,cobblestone
1,1,1,white_bed
2,1,1,cobblestone_stairs,east,bottom
3,1,1,cobblestone
4,1,1,cobblestone
0,1,2,cobblestone
1,1,2,cobblestone_stairs,east,bottom
2,1,2,cobblestone
3,1,2,cobblestone
4,1,2,cobblestone_stairs,west,bottom
0,1,3,cobblestone
1,1,3,oak_log
2,1,3,cobblestone
3,1,3,cobblestone
4,1,3,cobblestone
0,1,4,oak_log
1,1,4,cobblestone
2,1,4,oak_door
3,1,4,cobblestone
4,1,4,oak_log
-- y=2 (Layer 3): Windows and upper door
0,2,0,oak_log
1,2,0,cobblestone
2,2,0,glass_pane
3,2,0,cobblestone
4,2,0,oak_log
0,2,1,oak_log
1,2,1,oak_log
2,2,1,glass_pane
3,2,1,glass_pane
4,2,1,oak_log
0,2,2,oak_log
1,2,2,oak_log
4,2,2,oak_log
0,2,3,oak_log
1,2,3,cobblestone
2,2,3,cobblestone
3,2,3,cobblestone
4,2,3,oak_log
-- y=3 (Layer 4): Upper walls + torch
0,3,0,oak_log
1,3,0,cobblestone
2,3,0,cobblestone
3,3,0,cobblestone
4,3,0,oak_log
0,3,1,cobblestone
1,3,1,torch
2,3,1,cobblestone
3,3,1,cobblestone
4,3,1,cobblestone
0,3,2,cobblestone
1,3,2,cobblestone
2,3,2,cobblestone
3,3,2,cobblestone
4,3,2,cobblestone
0,3,3,oak_log
1,3,3,cobblestone
2,3,3,cobblestone
3,3,3,cobblestone
4,3,3,oak_log
-- y=4 (Layer 5): Roof base - oak stairs
0,4,0,oak_stairs,south,bottom
1,4,0,oak_stairs,south,bottom
2,4,0,oak_stairs,south,bottom
3,4,0,oak_stairs,south,bottom
4,4,0,oak_stairs,south,bottom
0,4,1,oak_log
1,4,1,oak_log
2,4,1,oak_log
3,4,1,oak_log
4,4,1,oak_log
0,4,2,oak_stairs,north,bottom
1,4,2,oak_planks
2,4,2,oak_planks
3,4,2,oak_stairs,south,bottom
4,4,2,oak_stairs,south,bottom
0,4,3,oak_stairs,north,bottom
1,4,3,oak_planks
2,4,3,oak_planks
3,4,3,oak_stairs,south,bottom
4,4,3,oak_stairs,south,bottom
0,4,4,oak_log
1,4,4,oak_log
2,4,4,oak_log
3,4,4,oak_log
4,4,4,oak_stairs,north,bottom
-- y=5 (Layer 6): Mid roof
0,5,0,oak_stairs,south,bottom
1,5,0,oak_stairs,south,bottom
2,5,0,oak_stairs,south,bottom
3,5,0,oak_stairs,south,bottom
4,5,0,oak_stairs,south,bottom
0,5,1,oak_planks
1,5,1,oak_planks
2,5,1,oak_planks
3,5,1,oak_stairs,south,bottom
4,5,1,oak_stairs,south,bottom
0,5,2,oak_stairs,north,bottom
1,5,2,oak_stairs,north,bottom
2,5,2,oak_stairs,north,bottom
3,5,2,oak_stairs,south,bottom
4,5,2,oak_stairs,south,bottom
0,5,3,oak_planks
1,5,3,oak_planks
2,5,3,oak_planks
3,5,3,oak_stairs,north,bottom
4,5,3,oak_stairs,north,bottom
0,5,4,oak_stairs,north,bottom
1,5,4,oak_stairs,north,bottom
2,5,4,oak_stairs,north,bottom
3,5,4,oak_stairs,north,bottom
4,5,4,oak_stairs,north,bottom
-- y=6 (Layer 7): Roof peak
0,6,0,oak_stairs,south,bottom
1,6,0,oak_planks
2,6,0,oak_stairs,east,bottom
3,6,0,oak_stairs,south,bottom
4,6,0,oak_planks
0,6,1,oak_stairs,west,bottom
1,6,1,oak_stairs,south,bottom
2,6,1,oak_planks
3,6,1,oak_stairs,east,bottom
4,6,1,oak_stairs,east,bottom
0,6,2,oak_planks
1,6,2,oak_stairs,west,bottom
2,6,2,oak_stairs,north,bottom
3,6,2,oak_planks
4,6,2,oak_stairs,east,bottom
0,6,3,oak_stairs,west,bottom
1,6,3,oak_planks
2,6,3,oak_stairs,west,bottom
3,6,3,oak_stairs,north,bottom
4,6,3,oak_planks
0,6,4,oak_stairs,north,bottom
1,6,4,oak_planks
2,6,4,oak_stairs,west,bottom
3,6,4,oak_planks
4,6,4,oak_stairs,north,bottom

=== SMALL_HOUSE_5 ===
dimensions: 7x7x10
door: 6,1,3
BLOCKS:
-- y=0 (Layer 1): Foundation 7x7
0,0,0,oak_log
1,0,0,cobblestone
2,0,0,cobblestone
3,0,0,cobblestone
4,0,0,cobblestone
5,0,0,cobblestone
6,0,0,oak_log
0,0,1,cobblestone
1,0,1,oak_planks
2,0,1,oak_planks
3,0,1,oak_planks
4,0,1,oak_planks
5,0,1,oak_planks
6,0,1,cobblestone
0,0,2,cobblestone
1,0,2,oak_planks
2,0,2,oak_planks
3,0,2,oak_planks
4,0,2,oak_planks
5,0,2,oak_planks
6,0,2,cobblestone
0,0,3,cobblestone
1,0,3,oak_planks
2,0,3,oak_planks
3,0,3,oak_planks
4,0,3,oak_planks
5,0,3,oak_planks
6,0,3,cobblestone
0,0,4,oak_log
1,0,4,oak_planks
2,0,4,oak_planks
3,0,4,oak_planks
4,0,4,oak_planks
5,0,4,oak_planks
6,0,4,oak_log
0,0,5,cobblestone
1,0,5,oak_planks
2,0,5,oak_planks
3,0,5,oak_planks
4,0,5,cobblestone
5,0,5,cobblestone
6,0,5,cobblestone
0,0,6,cobblestone
1,0,6,cobblestone
2,0,6,cobblestone
3,0,6,cobblestone
4,0,6,cobblestone
5,0,6,cobblestone_stairs,north,bottom
-- y=1 (Layer 2): Interior furnishings
0,1,0,oak_log
1,1,0,oak_planks
2,1,0,oak_planks
3,1,0,oak_planks
4,1,0,oak_planks
5,1,0,oak_planks
6,1,0,oak_log
0,1,1,oak_planks
1,1,1,white_bed
2,1,1,oak_stairs,east,bottom
3,1,1,oak_stairs,east,bottom
4,1,1,oak_planks
5,1,1,oak_planks
6,1,1,white_bed
0,1,2,oak_fence
1,1,2,oak_planks
2,1,2,oak_planks
3,1,2,ladder
4,1,2,green_carpet
5,1,2,green_carpet
6,1,2,oak_planks
0,1,3,oak_log
1,1,3,oak_log
2,1,3,oak_log
3,1,3,cobblestone
4,1,3,cobblestone
5,1,3,cobblestone
6,1,3,oak_door
0,1,4,cobblestone
1,1,4,oak_planks
2,1,4,oak_planks
3,1,4,oak_planks
4,1,4,oak_planks
5,1,4,oak_planks
6,1,4,oak_log
0,1,5,oak_log
1,1,5,oak_planks
2,1,5,oak_planks
3,1,5,oak_planks
4,1,5,oak_planks
5,1,5,oak_planks
6,1,5,oak_fence
0,1,6,oak_fence
1,1,6,oak_fence
2,1,6,oak_fence
3,1,6,oak_fence
4,1,6,oak_fence
5,1,6,oak_fence
-- y=2 (Layer 3): Walls, windows, torches
0,2,0,torch
1,2,0,torch
2,2,0,oak_log
3,2,0,oak_planks
4,2,0,oak_log
5,2,0,glass_pane
6,2,0,oak_log
0,2,1,oak_planks
1,2,1,oak_log
2,2,1,oak_planks
3,2,1,oak_planks
4,2,1,oak_log
5,2,1,glass_pane
6,2,1,oak_planks
0,2,2,oak_planks
1,2,2,glass_pane
2,2,2,glass_pane
3,2,2,oak_planks
4,2,2,glass_pane
5,2,2,oak_planks
6,2,2,ladder
0,2,3,oak_planks
1,2,3,oak_planks
2,2,3,oak_log
3,2,3,oak_log
4,2,3,oak_log
5,2,3,cobblestone
6,2,3,cobblestone
0,2,4,torch
1,2,4,torch
2,2,4,torch
3,2,4,cobblestone
4,2,4,cobblestone
5,2,4,cobblestone
-- y=3 (Layer 4): Upper walls
0,3,0,oak_log
1,3,0,oak_planks
2,3,0,oak_planks
3,3,0,oak_planks
4,3,0,oak_planks
5,3,0,oak_planks
6,3,0,oak_log
0,3,1,oak_planks
1,3,1,oak_planks
2,3,1,oak_planks
3,3,1,oak_planks
4,3,1,oak_planks
5,3,1,oak_planks
6,3,1,ladder
0,3,2,oak_planks
1,3,2,oak_planks
2,3,2,oak_planks
3,3,2,oak_planks
4,3,2,oak_planks
5,3,2,oak_planks
6,3,2,oak_planks
0,3,3,oak_planks
1,3,3,oak_planks
2,3,3,oak_planks
3,3,3,oak_planks
4,3,3,oak_planks
5,3,3,oak_planks
6,3,3,oak_planks
0,3,4,oak_log
1,3,4,oak_planks
2,3,4,oak_planks
3,3,4,oak_planks
4,3,4,oak_planks
5,3,4,oak_planks
6,3,4,oak_log
0,3,5,cobblestone
1,3,5,cobblestone
2,3,5,cobblestone
3,3,5,cobblestone
4,3,5,cobblestone
5,3,5,cobblestone
6,3,5,torch
-- y=4 (Layer 5): Second floor level
0,4,0,oak_log
1,4,0,oak_planks
2,4,0,oak_planks
3,4,0,oak_planks
4,4,0,oak_planks
5,4,0,oak_planks
6,4,0,oak_log
0,4,1,oak_log
1,4,1,oak_log
2,4,1,oak_log
3,4,1,oak_log
4,4,1,oak_log
5,4,1,oak_log
6,4,1,oak_log
0,4,2,oak_planks
1,4,2,oak_door
2,4,2,oak_planks
3,4,2,oak_door
4,4,2,oak_planks
5,4,2,oak_planks
6,4,2,oak_log
0,4,3,oak_fence
1,4,3,oak_fence
2,4,3,oak_fence
3,4,3,oak_fence
4,4,3,oak_fence
5,4,3,oak_fence
-- y=5 (Layer 6): Upper room walls
0,5,0,torch
1,5,0,torch
2,5,0,oak_log
3,5,0,oak_planks
4,5,0,oak_log
5,5,0,glass_pane
6,5,0,oak_log
0,5,1,oak_planks
1,5,1,oak_log
2,5,1,oak_planks
3,5,1,oak_planks
4,5,1,oak_log
5,5,1,oak_planks
6,5,1,oak_planks
0,5,2,oak_planks
1,5,2,oak_planks
2,5,2,oak_planks
3,5,2,oak_planks
4,5,2,oak_planks
5,5,2,oak_planks
6,5,2,oak_planks
0,5,3,oak_log
1,5,3,oak_planks
2,5,3,oak_planks
3,5,3,oak_planks
4,5,3,oak_planks
5,5,3,oak_planks
6,5,3,oak_log
-- y=6-9 (Layers 7-10): Roof structure (oak stairs)
0,6,0,oak_stairs,south,bottom
1,6,0,oak_stairs,south,bottom
2,6,0,oak_stairs,south,bottom
3,6,0,oak_stairs,south,bottom
4,6,0,oak_stairs,south,bottom
5,6,0,oak_stairs,south,bottom
6,6,0,oak_stairs,south,bottom
0,6,1,oak_log
1,6,1,oak_planks
2,6,1,oak_planks
3,6,1,oak_planks
4,6,1,oak_planks
5,6,1,oak_planks
6,6,1,oak_log
0,6,2,oak_stairs,north,bottom
1,6,2,oak_stairs,north,bottom
2,6,2,oak_stairs,north,bottom
3,6,2,oak_stairs,north,bottom
4,6,2,oak_stairs,north,bottom
5,6,2,oak_stairs,north,bottom
6,6,2,oak_stairs,north,bottom
0,7,0,oak_stairs,south,bottom
1,7,0,oak_stairs,south,bottom
2,7,0,oak_stairs,south,bottom
3,7,0,oak_stairs,south,bottom
4,7,0,oak_stairs,south,bottom
5,7,0,oak_stairs,south,bottom
6,7,0,oak_stairs,south,bottom
0,7,1,oak_planks
1,7,1,oak_planks
2,7,1,oak_planks
3,7,1,oak_planks
4,7,1,oak_planks
5,7,1,oak_planks
6,7,1,oak_planks
0,7,2,oak_stairs,north,bottom
1,7,2,oak_stairs,north,bottom
2,7,2,oak_stairs,north,bottom
3,7,2,oak_stairs,north,bottom
4,7,2,oak_stairs,north,bottom
5,7,2,oak_stairs,north,bottom
6,7,2,oak_stairs,north,bottom
0,8,0,oak_stairs,south,bottom
1,8,0,oak_stairs,south,bottom
2,8,0,oak_stairs,south,bottom
3,8,0,oak_stairs,south,bottom
4,8,0,oak_stairs,south,bottom
5,8,0,oak_stairs,south,bottom
6,8,0,oak_stairs,south,bottom
0,8,1,oak_planks
1,8,1,oak_planks
2,8,1,oak_planks
3,8,1,oak_planks
4,8,1,oak_planks
5,8,1,oak_planks
6,8,1,oak_planks
0,8,2,oak_stairs,north,bottom
1,8,2,oak_stairs,north,bottom
2,8,2,oak_stairs,north,bottom
3,8,2,oak_stairs,north,bottom
4,8,2,oak_stairs,north,bottom
5,8,2,oak_stairs,north,bottom
6,8,2,oak_stairs,north,bottom
0,9,0,oak_stairs,south,bottom
1,9,0,oak_planks
2,9,0,oak_stairs,south,bottom
3,9,0,oak_stairs,south,bottom
4,9,0,oak_planks
5,9,0,oak_stairs,south,bottom
6,9,0,oak_stairs,south,bottom
0,9,1,oak_planks
1,9,1,oak_planks
2,9,1,oak_planks
3,9,1,oak_planks
4,9,1,oak_planks
5,9,1,oak_planks
6,9,1,oak_planks
0,9,2,oak_stairs,north,bottom
1,9,2,oak_planks
2,9,2,oak_stairs,north,bottom
3,9,2,oak_stairs,north,bottom
4,9,2,oak_planks
5,9,2,oak_stairs,north,bottom
6,9,2,oak_stairs,north,bottom

=== SMALL_HOUSE_6 ===
dimensions: 5x4x7
door: 4,1,2
BLOCKS:
-- y=0 (Layer 1): Foundation
0,0,0,oak_log
1,0,0,cobblestone
2,0,0,cobblestone
3,0,0,cobblestone
4,0,0,oak_log
0,0,1,cobblestone
1,0,1,cobblestone
2,0,1,cobblestone
3,0,1,cobblestone
4,0,1,cobblestone
0,0,2,cobblestone
1,0,2,cobblestone
2,0,2,cobblestone
3,0,2,cobblestone
4,0,2,oak_log
0,0,3,oak_trapdoor
1,0,3,grass_block
2,0,3,cobblestone_stairs,north,bottom
3,0,3,grass_block
4,0,3,oak_trapdoor
-- y=1 (Layer 2): Floor + interior
0,1,0,oak_log
1,1,0,oak_planks
2,1,0,oak_planks
3,1,0,oak_planks
4,1,0,oak_log
0,1,1,oak_planks
1,1,1,oak_planks
2,1,1,white_bed
3,1,1,white_bed
4,1,1,oak_planks
0,1,2,oak_planks
1,1,2,oak_planks
2,1,2,oak_log
3,1,2,oak_planks
4,1,2,oak_door
0,1,3,oak_log
1,1,3,poppy
2,1,3,poppy
-- y=2 (Layer 3): Walls + windows
0,2,0,oak_log
1,2,0,oak_planks
2,2,0,glass_pane
3,2,0,oak_planks
4,2,0,oak_log
0,2,1,oak_planks
1,2,1,torch
2,2,1,oak_planks
3,2,1,oak_planks
4,2,1,oak_planks
0,2,2,oak_log
1,2,2,oak_planks
2,2,2,oak_planks
3,2,2,oak_planks
4,2,2,oak_log
-- y=3 (Layer 4): Upper walls
0,3,0,oak_log
1,3,0,oak_planks
2,3,0,oak_planks
3,3,0,oak_planks
4,3,0,oak_log
0,3,1,oak_planks
1,3,1,oak_planks
2,3,1,oak_planks
3,3,1,oak_planks
4,3,1,oak_log
0,3,2,oak_planks
1,3,2,oak_planks
2,3,2,oak_planks
3,3,2,oak_planks
4,3,2,oak_log
0,3,3,torch
-- y=4 (Layer 5): Roof base
0,4,0,oak_stairs,south,bottom
1,4,0,oak_stairs,south,bottom
2,4,0,oak_stairs,south,bottom
3,4,0,oak_stairs,south,bottom
4,4,0,oak_stairs,south,bottom
0,4,1,oak_log
1,4,1,oak_log
2,4,1,oak_log
3,4,1,oak_log
4,4,1,oak_log
0,4,2,oak_stairs,north,bottom
1,4,2,oak_stairs,north,bottom
2,4,2,oak_log
3,4,2,oak_log
4,4,2,oak_stairs,north,bottom
-- y=5 (Layer 6): Mid roof
0,5,0,oak_stairs,south,bottom
1,5,0,oak_stairs,south,bottom
2,5,0,oak_stairs,south,bottom
3,5,0,oak_stairs,south,bottom
4,5,0,oak_stairs,south,bottom
0,5,1,oak_planks
1,5,1,oak_planks
2,5,1,oak_planks
3,5,1,oak_stairs,south,bottom
4,5,1,oak_stairs,south,bottom
0,5,2,oak_stairs,north,bottom
1,5,2,oak_stairs,north,bottom
2,5,2,oak_stairs,north,bottom
3,5,2,oak_stairs,north,bottom
4,5,2,oak_stairs,north,bottom
-- y=6 (Layer 7): Roof peak
0,6,0,oak_stairs,south,bottom
1,6,0,oak_planks
2,6,0,oak_stairs,east,bottom
3,6,0,oak_stairs,south,bottom
4,6,0,oak_planks
0,6,1,oak_stairs,west,bottom
1,6,1,oak_stairs,south,bottom
2,6,1,oak_planks
3,6,1,oak_stairs,east,bottom
4,6,1,oak_stairs,east,bottom
0,6,2,oak_planks
1,6,2,oak_stairs,west,bottom
2,6,2,oak_stairs,north,bottom
3,6,2,oak_planks
4,6,2,oak_stairs,east,bottom

=== SMALL_HOUSE_7 ===
dimensions: 6x5x7
door: 1,1,4
BLOCKS:
-- y=0 (Layer 1): Foundation
0,0,0,oak_log
1,0,0,cobblestone
2,0,0,cobblestone
3,0,0,cobblestone
4,0,0,cobblestone
5,0,0,oak_log
0,0,1,cobblestone
1,0,1,oak_log
2,0,1,oak_planks
3,0,1,oak_planks
4,0,1,oak_log
5,0,1,cobblestone
0,0,2,cobblestone
1,0,2,cobblestone
2,0,2,oak_planks
3,0,2,oak_planks
4,0,2,oak_planks
5,0,2,oak_planks
0,0,3,cobblestone
1,0,3,cobblestone
2,0,3,oak_log
3,0,3,oak_planks
4,0,3,oak_planks
5,0,3,oak_log
0,0,4,oak_log
1,0,4,cobblestone
2,0,4,cobblestone
3,0,4,cobblestone
4,0,4,cobblestone
5,0,4,oak_log
-- Cobblestone stairs outside front
0,0,4,cobblestone_stairs,south,bottom
1,0,4,cobblestone_stairs,south,bottom
2,0,4,cobblestone_stairs,south,bottom
3,0,4,cobblestone_stairs,south,bottom
-- y=1 (Layer 2): Interior with bed, chest, door
0,1,0,oak_log
1,1,0,cobblestone
2,1,0,cobblestone
3,1,0,cobblestone
4,1,0,cobblestone
5,1,0,oak_log
0,1,1,cobblestone
1,1,1,oak_stairs,east,bottom
2,1,1,chest
3,1,1,cobblestone
4,1,1,cobblestone
5,1,1,yellow_bed
0,1,2,cobblestone
1,1,2,cobblestone
2,1,2,yellow_bed
3,1,2,cobblestone
4,1,2,cobblestone
5,1,2,cobblestone
0,1,3,cobblestone
1,1,3,cobblestone
2,1,3,cobblestone
3,1,3,oak_log
4,1,3,cobblestone
5,1,3,oak_log
0,1,4,oak_log
1,1,4,oak_door
2,1,4,cobblestone
3,1,4,cobblestone
4,1,4,cobblestone
5,1,4,oak_log
-- y=2 (Layer 3): Walls, windows, torches
0,2,0,oak_log
1,2,0,oak_log
2,2,0,glass_pane
3,2,0,glass_pane
4,2,0,oak_log
5,2,0,oak_log
0,2,1,oak_log
1,2,1,oak_log
2,2,1,glass_pane
3,2,1,glass_pane
4,2,1,oak_log
5,2,1,oak_log
0,2,2,oak_log
1,2,2,oak_log
4,2,2,oak_log
5,2,2,oak_log
0,2,3,torch
1,2,3,torch
-- y=3 (Layer 4): Roof base
0,3,0,oak_stairs,south,bottom
1,3,0,oak_stairs,south,bottom
2,3,0,oak_stairs,south,bottom
3,3,0,oak_stairs,south,bottom
4,3,0,oak_stairs,south,bottom
5,3,0,oak_log
0,3,1,cobblestone
1,3,1,cobblestone
2,3,1,cobblestone
3,3,1,cobblestone
4,3,1,oak_log
5,3,1,oak_stairs,south,bottom
0,3,2,oak_stairs,north,bottom
1,3,2,cobblestone
2,3,2,cobblestone
3,3,2,oak_stairs,north,bottom
4,3,2,oak_stairs,south,bottom
5,3,2,cobblestone
0,3,3,cobblestone
1,3,3,oak_stairs,north,bottom
2,3,3,oak_stairs,north,bottom
3,3,3,cobblestone
4,3,3,torch
5,3,3,torch
0,3,4,cobblestone
1,3,4,oak_stairs,north,bottom
2,3,4,oak_stairs,north,bottom
3,3,4,oak_log
4,3,4,cobblestone
5,3,4,cobblestone
-- y=4-6 (Layers 5-7): Roof pyramid
0,4,0,oak_stairs,south,bottom
1,4,0,oak_stairs,south,bottom
2,4,0,oak_stairs,south,bottom
3,4,0,oak_stairs,south,bottom
4,4,0,oak_stairs,south,bottom
5,4,0,oak_stairs,south,bottom
0,4,1,oak_stairs,west,bottom
1,4,1,cobblestone
2,4,1,cobblestone
3,4,1,cobblestone
4,4,1,cobblestone
5,4,1,oak_stairs,east,bottom
0,4,2,oak_stairs,west,bottom
1,4,2,cobblestone
2,4,2,cobblestone
3,4,2,cobblestone
4,4,2,cobblestone
5,4,2,oak_stairs,east,bottom
0,4,3,oak_stairs,west,bottom
1,4,3,cobblestone
2,4,3,cobblestone
3,4,3,cobblestone
4,4,3,cobblestone
5,4,3,oak_stairs,east,bottom
0,4,4,oak_stairs,north,bottom
1,4,4,oak_stairs,north,bottom
2,4,4,oak_stairs,north,bottom
3,4,4,oak_stairs,north,bottom
4,4,4,oak_stairs,north,bottom
5,4,4,oak_stairs,north,bottom
0,5,0,oak_stairs,south,bottom
1,5,0,oak_stairs,south,bottom
2,5,0,oak_stairs,south,bottom
3,5,0,oak_stairs,south,bottom
4,5,0,oak_stairs,south,bottom
5,5,0,oak_stairs,south,bottom
0,5,1,oak_stairs,west,bottom
1,5,1,oak_planks
2,5,1,oak_planks
3,5,1,oak_planks
4,5,1,oak_planks
5,5,1,oak_stairs,east,bottom
0,5,2,oak_stairs,west,bottom
1,5,2,oak_planks
2,5,2,oak_planks
3,5,2,oak_planks
4,5,2,oak_planks
5,5,2,oak_stairs,east,bottom
0,5,3,oak_stairs,west,bottom
1,5,3,oak_planks
2,5,3,oak_planks
3,5,3,oak_planks
4,5,3,oak_planks
5,5,3,oak_stairs,east,bottom
0,5,4,oak_stairs,north,bottom
1,5,4,oak_stairs,north,bottom
2,5,4,oak_stairs,north,bottom
3,5,4,oak_stairs,north,bottom
4,5,4,oak_stairs,north,bottom
5,5,4,oak_stairs,north,bottom
0,6,1,oak_stairs,west,bottom
1,6,1,oak_planks
2,6,1,oak_planks
3,6,1,oak_planks
4,6,1,oak_planks
5,6,1,oak_stairs,east,bottom
0,6,2,oak_stairs,west,bottom
1,6,2,oak_planks
2,6,2,oak_planks
3,6,2,oak_planks
4,6,2,oak_planks
5,6,2,oak_stairs,east,bottom
0,6,3,oak_stairs,west,bottom
1,6,3,oak_planks
2,6,3,oak_planks
3,6,3,oak_planks
4,6,3,oak_planks
5,6,3,oak_stairs,east,bottom

=== SMALL_HOUSE_8 ===
dimensions: 5x5x8
door: 1,2,3
BLOCKS:
-- y=-1 (Layer 0): Garden/ground level
0,-1,0,grass_block
1,-1,0,farmland
2,-1,0,water
3,-1,0,farmland
4,-1,0,dirt
0,-1,1,dirt
1,-1,1,dirt
2,-1,1,dirt
3,-1,1,dirt
4,-1,1,farmland
0,-1,2,dirt
1,-1,2,dirt
2,-1,2,dirt
3,-1,2,dirt
4,-1,2,dirt
0,-1,3,grass_block
1,-1,3,water
2,-1,3,dirt
3,-1,3,dirt
4,-1,3,dirt
0,-1,4,dirt
1,-1,4,dirt
2,-1,4,water
3,-1,4,grass_block
4,-1,4,farmland
-- y=0 (Layer 1): Foundation with wheat
0,0,0,wheat
1,0,0,wheat
2,0,0,oak_log
3,0,0,cobblestone
4,0,0,cobblestone
0,0,1,cobblestone
1,0,1,oak_log
2,0,1,wheat
3,0,1,cobblestone
4,0,1,oak_planks
0,0,2,oak_planks
1,0,2,oak_planks
2,0,2,cobblestone
3,0,2,wheat
4,0,2,cobblestone
0,0,3,oak_planks
1,0,3,oak_planks
2,0,3,oak_planks
3,0,3,cobblestone
4,0,3,wheat
0,0,4,oak_log
1,0,4,cobblestone
2,0,4,cobblestone
3,0,4,cobblestone
4,0,4,oak_log
-- cobblestone stairs at front
0,0,4,cobblestone_stairs,south,bottom
-- y=1 (Layer 2): Walls, bed, door
0,1,0,oak_log
1,1,0,cobblestone
2,1,0,cobblestone
3,1,0,cobblestone
4,1,0,oak_log
0,1,1,cobblestone
1,1,1,white_bed
2,1,1,oak_stairs,east,bottom
3,1,1,cobblestone
4,1,1,cobblestone
0,1,2,cobblestone
1,1,2,cobblestone
2,1,2,cobblestone
3,1,2,cobblestone
4,1,2,oak_log
0,1,3,cobblestone
1,1,3,oak_door
2,1,3,cobblestone
3,1,3,oak_log
-- y=2 (Layer 3): Windows, upper door
0,2,0,oak_log
1,2,0,cobblestone
2,2,0,glass_pane
3,2,0,cobblestone
4,2,0,oak_log
0,2,1,cobblestone
1,2,1,cobblestone
2,2,1,glass_pane
3,2,1,glass_pane
4,2,1,cobblestone
0,2,2,cobblestone
1,2,2,oak_log
2,2,2,cobblestone
-- y=3 (Layer 4): Upper walls + torch
0,3,0,oak_log
1,3,0,cobblestone
2,3,0,cobblestone
3,3,0,cobblestone
4,3,0,oak_log
0,3,1,cobblestone
1,3,1,cobblestone
2,3,1,cobblestone
3,3,1,cobblestone
4,3,1,cobblestone
0,3,2,cobblestone
1,3,2,oak_log
2,3,2,cobblestone
3,3,2,cobblestone
4,3,2,cobblestone
0,3,3,oak_log
1,3,3,torch
-- y=4-6 (Layers 5-7): Roof
0,4,0,oak_stairs,south,bottom
1,4,0,oak_stairs,south,bottom
2,4,0,oak_stairs,south,bottom
3,4,0,oak_stairs,south,bottom
4,4,0,oak_stairs,south,bottom
0,4,1,oak_log
1,4,1,oak_log
2,4,1,oak_log
3,4,1,oak_log
4,4,1,oak_log
0,4,2,oak_stairs,north,bottom
1,4,2,oak_planks
2,4,2,oak_planks
3,4,2,oak_stairs,north,bottom
4,4,2,oak_stairs,north,bottom
0,5,0,oak_stairs,south,bottom
1,5,0,oak_stairs,south,bottom
2,5,0,oak_stairs,south,bottom
3,5,0,oak_stairs,south,bottom
4,5,0,oak_stairs,south,bottom
0,5,1,oak_planks
1,5,1,oak_planks
2,5,1,oak_planks
3,5,1,oak_planks
4,5,1,oak_planks
0,5,2,oak_stairs,north,bottom
1,5,2,oak_stairs,north,bottom
2,5,2,oak_stairs,north,bottom
3,5,2,oak_stairs,north,bottom
4,5,2,oak_stairs,north,bottom
0,6,0,oak_stairs,south,bottom
1,6,0,oak_planks
2,6,0,oak_stairs,south,bottom
3,6,0,oak_stairs,south,bottom
4,6,0,oak_planks
0,6,1,oak_planks
